,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
1314,32,private,some-college,10,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,50,canada,>50k
1315,24,private,hs-grad,9,never-married,machine-op-inspct,own-child,white,female,0,0,40,united-states,<=50k
1316,35,private,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,7298,0,40,united-states,>50k
1318,41,state-gov,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,>50k
1319,48,private,bachelors,13,married-civ-spouse,craft-repair,husband,white,male,0,0,45,united-states,>50k
1320,61,local-gov,hs-grad,9,widowed,adm-clerical,unmarried,white,female,1471,0,35,united-states,<=50k
1321,20,private,some-college,10,never-married,adm-clerical,own-child,white,male,0,0,30,united-states,<=50k
1322,27,private,hs-grad,9,never-married,sales,not-in-family,white,male,0,0,50,united-states,>50k
1323,55,private,some-college,10,married-civ-spouse,transport-moving,husband,white,male,0,0,24,united-states,>50k
1324,39,private,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,>50k
1327,52,private,hs-grad,9,widowed,other-service,unmarried,asian-pac-islander,female,0,0,40,india,>50k
1328,24,private,hs-grad,9,never-married,sales,own-child,black,female,0,0,20,united-states,<=50k
1329,29,private,11th,7,never-married,other-service,unmarried,black,female,0,0,40,united-states,<=50k
1330,25,private,hs-grad,9,never-married,machine-op-inspct,other-relative,white,male,0,0,40,united-states,<=50k
1331,20,private,some-college,10,never-married,machine-op-inspct,not-in-family,white,female,0,0,40,united-states,<=50k
1332,23,private,hs-grad,9,never-married,machine-op-inspct,not-in-family,black,male,0,0,35,united-states,<=50k
1333,57,private,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,0,60,united-states,<=50k
1334,51,private,assoc-voc,11,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,>50k
1335,33,private,some-college,10,never-married,prof-specialty,not-in-family,white,female,3674,0,16,united-states,<=50k
1336,39,private,bachelors,13,never-married,prof-specialty,not-in-family,white,male,0,0,40,united-states,<=50k
1337,40,private,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,>50k
1338,71,private,bachelors,13,divorced,tech-support,own-child,white,female,2329,0,16,united-states,<=50k
1339,38,state-gov,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,<=50k
1340,28,state-gov,prof-school,15,never-married,prof-specialty,unmarried,white,male,0,0,40,united-states,<=50k
1341,57,private,masters,14,married-spouse-absent,prof-specialty,not-in-family,white,female,0,0,40,united-states,<=50k
1342,47,private,some-college,10,divorced,adm-clerical,not-in-family,white,male,0,0,40,united-states,<=50k
1343,59,state-gov,hs-grad,9,never-married,adm-clerical,own-child,white,male,0,0,40,united-states,<=50k
1344,26,private,hs-grad,9,never-married,sales,not-in-family,other,male,0,0,40,united-states,<=50k
1345,35,private,bachelors,13,never-married,adm-clerical,own-child,white,female,0,0,40,united-states,<=50k
1346,61,self-emp-inc,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,germany,>50k
1350,34,private,some-college,10,never-married,prof-specialty,not-in-family,white,male,0,0,50,united-states,>50k
1351,32,self-emp-inc,bachelors,13,married-civ-spouse,craft-repair,husband,white,male,7688,0,50,united-states,>50k
1352,42,private,hs-grad,9,separated,sales,own-child,white,female,0,0,40,united-states,<=50k
1353,39,private,some-college,10,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
1354,58,private,5th-6th,3,divorced,machine-op-inspct,not-in-family,black,male,0,0,40,united-states,<=50k
1355,61,self-emp-not-inc,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,0,1848,60,united-states,>50k
1356,40,private,10th,6,never-married,craft-repair,other-relative,black,male,0,0,55,united-states,<=50k
1357,31,private,bachelors,13,never-married,tech-support,not-in-family,white,male,0,0,37,united-states,<=50k
1358,36,private,hs-grad,9,never-married,sales,not-in-family,white,male,0,0,50,united-states,<=50k
1359,23,private,some-college,10,never-married,machine-op-inspct,own-child,white,male,0,0,40,united-states,<=50k
1360,33,private,hs-grad,9,never-married,craft-repair,not-in-family,white,male,0,0,41,united-states,<=50k
1361,52,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,>50k
1362,22,private,hs-grad,9,never-married,other-service,not-in-family,white,female,0,0,24,united-states,<=50k
1363,51,private,some-college,10,divorced,sales,unmarried,white,female,0,0,40,italy,<=50k
1364,31,federal-gov,assoc-voc,11,never-married,exec-managerial,not-in-family,white,female,0,0,40,united-states,<=50k
1365,49,self-emp-inc,hs-grad,9,divorced,exec-managerial,unmarried,white,female,0,0,40,united-states,<=50k
1366,49,private,hs-grad,9,married-civ-spouse,machine-op-inspct,wife,black,female,0,0,40,united-states,<=50k
1367,53,federal-gov,some-college,10,widowed,adm-clerical,not-in-family,black,female,0,0,40,united-states,<=50k
1368,52,private,hs-grad,9,married-civ-spouse,exec-managerial,husband,asian-pac-islander,male,99999,0,40,japan,>50k
1369,20,private,10th,6,never-married,handlers-cleaners,own-child,white,male,0,0,40,united-states,<=50k
1370,26,private,assoc-acdm,12,never-married,other-service,own-child,black,male,0,0,40,united-states,<=50k
1372,43,private,masters,14,never-married,other-service,not-in-family,white,female,0,0,30,poland,<=50k
1373,46,self-emp-inc,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,52,united-states,<=50k
1374,43,local-gov,assoc-voc,11,never-married,adm-clerical,not-in-family,white,female,0,0,35,united-states,<=50k
1375,41,private,hs-grad,9,divorced,sales,unmarried,black,female,0,0,40,united-states,<=50k
1376,44,self-emp-not-inc,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,0,0,55,united-states,<=50k
1377,54,private,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,0,0,40,united-states,<=50k
1378,65,private,masters,14,married-civ-spouse,sales,husband,white,male,20051,0,40,united-states,>50k
1379,32,private,bachelors,13,divorced,exec-managerial,unmarried,white,female,0,0,40,canada,<=50k
1380,25,private,some-college,10,separated,adm-clerical,own-child,white,male,0,0,40,united-states,<=50k
1381,23,private,bachelors,13,never-married,sales,not-in-family,white,male,0,0,50,united-states,<=50k
1382,25,local-gov,bachelors,13,never-married,prof-specialty,not-in-family,white,male,0,0,45,united-states,<=50k
1383,19,private,some-college,10,never-married,handlers-cleaners,own-child,white,male,0,0,50,united-states,<=50k
1384,37,self-emp-not-inc,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,60,united-states,<=50k
1385,45,private,some-college,10,never-married,machine-op-inspct,own-child,white,male,0,0,45,united-states,<=50k
1386,37,private,hs-grad,9,never-married,sales,not-in-family,black,male,0,0,44,united-states,<=50k
1387,40,self-emp-not-inc,some-college,10,divorced,exec-managerial,other-relative,white,male,0,1564,70,iran,>50k
1389,17,private,11th,7,never-married,other-service,own-child,white,male,0,0,5,united-states,<=50k
1390,27,private,bachelors,13,never-married,tech-support,not-in-family,white,female,0,0,40,united-states,<=50k
1392,59,private,hs-grad,9,divorced,sales,unmarried,white,female,0,1762,30,united-states,<=50k
1393,19,federal-gov,hs-grad,9,never-married,adm-clerical,unmarried,black,female,0,0,40,united-states,<=50k
1394,43,private,10th,6,never-married,machine-op-inspct,not-in-family,black,male,0,0,40,united-states,<=50k
1395,42,private,10th,6,never-married,transport-moving,unmarried,white,male,0,0,40,united-states,>50k
1396,54,private,hs-grad,9,married-civ-spouse,transport-moving,husband,black,male,5013,0,40,united-states,<=50k
1397,54,self-emp-not-inc,masters,14,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,<=50k
1398,51,private,10th,6,married-civ-spouse,handlers-cleaners,husband,white,male,2105,0,45,united-states,<=50k
1399,50,private,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,0,0,60,united-states,>50k
1400,40,private,hs-grad,9,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
1401,55,private,assoc-acdm,12,married-civ-spouse,tech-support,husband,white,male,0,0,25,united-states,<=50k
1402,50,private,hs-grad,9,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
1403,31,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,50,united-states,<=50k
1405,24,private,hs-grad,9,married-civ-spouse,other-service,husband,white,male,0,0,45,united-states,>50k
1406,30,private,11th,7,divorced,sales,own-child,white,male,0,0,40,united-states,<=50k
1407,39,local-gov,assoc-acdm,12,married-civ-spouse,craft-repair,wife,white,female,0,0,50,united-states,>50k
1408,37,private,hs-grad,9,divorced,transport-moving,not-in-family,white,male,0,0,50,united-states,<=50k
1409,33,private,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,0,0,40,united-states,<=50k
1410,48,private,hs-grad,9,widowed,other-service,unmarried,white,female,0,0,40,united-states,<=50k
1411,43,self-emp-inc,hs-grad,9,married-civ-spouse,other-service,husband,asian-pac-islander,male,0,0,78,thailand,<=50k
1412,39,private,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,>50k
1413,53,private,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,0,45,united-states,>50k
1414,52,self-emp-not-inc,10th,6,married-civ-spouse,exec-managerial,husband,white,male,0,0,60,united-states,<=50k
1415,28,state-gov,some-college,10,married-civ-spouse,adm-clerical,husband,asian-pac-islander,male,0,0,20,united-states,<=50k
1416,32,private,hs-grad,9,never-married,other-service,not-in-family,white,male,0,0,52,united-states,<=50k
1417,31,private,bachelors,13,married-civ-spouse,sales,husband,black,male,0,0,90,united-states,>50k
1418,31,private,bachelors,13,married-civ-spouse,prof-specialty,wife,white,female,0,0,40,united-states,>50k
1419,47,private,some-college,10,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
1421,40,private,assoc-voc,11,married-civ-spouse,handlers-cleaners,husband,black,male,0,0,40,united-states,<=50k
1422,40,private,assoc-acdm,12,never-married,adm-clerical,own-child,white,female,0,0,45,united-states,<=50k
1423,41,private,11th,7,divorced,other-service,not-in-family,white,male,0,0,40,united-states,<=50k
1424,53,federal-gov,hs-grad,9,married-civ-spouse,adm-clerical,husband,black,male,0,0,40,united-states,<=50k
1425,46,private,11th,7,divorced,machine-op-inspct,unmarried,amer-indian-eskimo,male,0,0,43,germany,<=50k
1426,45,self-emp-inc,bachelors,13,married-civ-spouse,farming-fishing,husband,white,male,4386,0,35,united-states,>50k
1427,39,private,9th,5,married-civ-spouse,other-service,wife,black,female,3411,0,34,united-states,<=50k
1428,19,private,hs-grad,9,never-married,machine-op-inspct,not-in-family,white,male,0,0,40,united-states,<=50k
1429,57,private,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,0,1887,40,united-states,>50k
1430,49,private,assoc-voc,11,married-civ-spouse,machine-op-inspct,wife,white,female,0,0,40,peru,<=50k
1431,59,private,hs-grad,9,divorced,exec-managerial,not-in-family,white,female,0,0,40,united-states,<=50k
1432,32,private,assoc-voc,11,divorced,sales,not-in-family,white,male,0,0,50,united-states,>50k
1434,35,state-gov,some-college,10,never-married,protective-serv,not-in-family,black,male,0,0,40,united-states,<=50k
1435,58,self-emp-inc,10th,6,married-civ-spouse,transport-moving,wife,white,female,0,0,40,united-states,<=50k
1436,28,private,bachelors,13,never-married,other-service,not-in-family,white,male,0,0,43,mexico,<=50k
1437,36,federal-gov,assoc-acdm,12,married-civ-spouse,adm-clerical,wife,white,female,0,0,40,united-states,>50k
1438,41,self-emp-not-inc,masters,14,divorced,prof-specialty,unmarried,white,female,0,0,35,united-states,<=50k
1439,47,private,hs-grad,9,married-civ-spouse,sales,husband,white,male,0,0,40,united-states,>50k
1440,50,self-emp-inc,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,1672,60,united-states,<=50k
1442,36,private,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,united-states,>50k
1443,38,private,assoc-voc,11,divorced,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50k
1444,56,self-emp-not-inc,hs-grad,9,married-civ-spouse,other-service,husband,white,male,0,1902,60,united-states,>50k
1445,50,private,assoc-voc,11,married-civ-spouse,transport-moving,husband,white,male,0,0,45,united-states,<=50k
1446,45,self-emp-not-inc,some-college,10,married-civ-spouse,sales,husband,white,male,5013,0,40,united-states,<=50k
1447,44,self-emp-not-inc,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,66,united-states,<=50k
1448,51,private,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,0,45,united-states,>50k
1449,44,self-emp-inc,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,united-states,>50k
1450,25,private,hs-grad,9,divorced,craft-repair,not-in-family,white,male,0,0,50,united-states,<=50k
1451,60,private,11th,7,widowed,transport-moving,unmarried,black,male,0,0,40,united-states,<=50k
1453,49,self-emp-inc,masters,14,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,united-states,>50k
1454,46,private,hs-grad,9,married-civ-spouse,craft-repair,husband,black,male,0,0,60,united-states,>50k
1455,56,private,hs-grad,9,widowed,adm-clerical,unmarried,black,female,0,0,38,united-states,<=50k
1456,25,private,hs-grad,9,divorced,craft-repair,not-in-family,white,male,3325,0,45,united-states,<=50k
1457,22,private,some-college,10,never-married,transport-moving,not-in-family,white,male,0,0,40,united-states,<=50k
1459,41,self-emp-inc,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,0,60,united-states,>50k
1460,48,self-emp-inc,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,7688,0,40,united-states,>50k
1461,46,private,10th,6,never-married,machine-op-inspct,not-in-family,black,male,0,0,40,united-states,<=50k
1462,30,private,some-college,10,never-married,craft-repair,not-in-family,white,male,0,0,40,united-states,>50k
1463,39,private,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,0,0,40,united-states,>50k
1464,40,private,10th,6,divorced,craft-repair,not-in-family,amer-indian-eskimo,male,0,0,40,united-states,<=50k
1465,70,federal-gov,hs-grad,9,married-civ-spouse,adm-clerical,husband,black,male,0,0,40,united-states,<=50k
1466,35,private,some-college,10,married-civ-spouse,craft-repair,husband,white,male,0,2051,45,united-states,<=50k
1467,49,private,masters,14,divorced,exec-managerial,not-in-family,white,female,0,0,75,united-states,<=50k
1468,24,private,assoc-voc,11,never-married,protective-serv,not-in-family,white,male,0,0,60,united-states,<=50k
1469,40,private,assoc-acdm,12,married-civ-spouse,prof-specialty,husband,white,male,7298,0,36,united-states,>50k
1470,61,private,prof-school,15,married-civ-spouse,transport-moving,husband,white,male,0,0,5,united-states,>50k
1471,25,private,bachelors,13,never-married,prof-specialty,own-child,asian-pac-islander,male,0,0,40,united-states,<=50k
1472,28,local-gov,bachelors,13,never-married,prof-specialty,not-in-family,white,female,0,0,40,united-states,<=50k
1473,69,state-gov,masters,14,married-civ-spouse,prof-specialty,husband,white,male,0,0,11,united-states,<=50k
1474,22,private,some-college,10,never-married,handlers-cleaners,own-child,white,female,0,0,36,united-states,<=50k
1475,47,private,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,38,united-states,<=50k
1476,38,private,hs-grad,9,divorced,other-service,unmarried,white,female,0,0,48,united-states,<=50k
1477,26,private,assoc-voc,11,never-married,adm-clerical,own-child,white,female,0,0,40,united-states,<=50k
1478,17,private,11th,7,never-married,adm-clerical,own-child,asian-pac-islander,female,0,0,24,united-states,<=50k
1479,33,self-emp-not-inc,some-college,10,never-married,other-service,not-in-family,white,male,0,0,35,united-states,<=50k
1480,43,self-emp-not-inc,hs-grad,9,married-spouse-absent,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50k
1481,58,private,assoc-voc,11,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,>50k
1482,53,self-emp-inc,hs-grad,9,married-civ-spouse,sales,husband,white,male,99999,0,40,united-states,>50k
1483,26,private,hs-grad,9,never-married,craft-repair,not-in-family,white,male,0,0,25,united-states,<=50k
1484,43,local-gov,bachelors,13,married-civ-spouse,prof-specialty,husband,black,male,0,0,40,united-states,>50k
1485,31,private,10th,6,married-civ-spouse,farming-fishing,husband,white,male,2105,0,40,mexico,<=50k
1486,30,private,hs-grad,9,never-married,adm-clerical,unmarried,white,male,0,2001,42,united-states,<=50k
1487,25,private,hs-grad,9,never-married,other-service,own-child,white,female,0,0,25,united-states,<=50k
1488,57,federal-gov,hs-grad,9,divorced,adm-clerical,unmarried,white,female,0,0,40,united-states,<=50k
1489,37,private,masters,14,divorced,exec-managerial,unmarried,white,male,0,0,60,united-states,>50k
1490,32,private,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,48,united-states,<=50k
1491,26,private,hs-grad,9,divorced,exec-managerial,not-in-family,white,female,0,0,41,united-states,<=50k
1492,45,private,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,>50k
1493,53,state-gov,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,15024,0,35,united-states,>50k
1494,27,private,hs-grad,9,never-married,handlers-cleaners,other-relative,amer-indian-eskimo,male,0,0,40,united-states,<=50k
1495,28,self-emp-inc,11th,7,married-civ-spouse,craft-repair,husband,white,male,0,0,50,united-states,>50k
1496,32,private,11th,7,divorced,sales,not-in-family,white,male,0,0,43,united-states,>50k
1497,35,private,bachelors,13,divorced,sales,not-in-family,white,female,0,1980,65,united-states,<=50k
1498,36,self-emp-not-inc,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,0,55,united-states,>50k
1499,19,private,some-college,10,never-married,adm-clerical,not-in-family,white,male,0,0,40,united-states,<=50k
1500,37,self-emp-inc,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,80,united-states,>50k
1501,49,private,some-college,10,divorced,machine-op-inspct,not-in-family,white,male,3325,0,45,united-states,<=50k
1502,20,private,some-college,10,never-married,other-service,not-in-family,white,male,0,0,45,united-states,<=50k
1503,64,self-emp-inc,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,15024,0,55,united-states,>50k
1505,32,private,assoc-acdm,12,married-civ-spouse,craft-repair,husband,white,male,0,0,42,united-states,<=50k
1506,58,state-gov,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,<=50k
1507,42,private,hs-grad,9,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,<=50k
1508,20,private,some-college,10,never-married,adm-clerical,not-in-family,black,female,0,0,14,united-states,<=50k
1509,42,state-gov,some-college,10,married-civ-spouse,adm-clerical,husband,black,male,0,0,40,united-states,<=50k
1510,25,private,some-college,10,married-spouse-absent,prof-specialty,unmarried,black,male,0,0,40,united-states,<=50k
1511,30,self-emp-not-inc,assoc-voc,11,married-civ-spouse,prof-specialty,husband,white,male,15024,0,65,united-states,>50k
1512,37,self-emp-inc,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,35,united-states,>50k
1513,66,self-emp-not-inc,assoc-voc,11,married-civ-spouse,prof-specialty,husband,white,male,0,0,50,united-states,<=50k
1514,59,self-emp-inc,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,england,>50k
1515,44,private,bachelors,13,divorced,other-service,not-in-family,asian-pac-islander,male,0,0,40,china,<=50k
1516,46,private,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,58,united-states,>50k
1517,59,private,bachelors,13,married-civ-spouse,adm-clerical,wife,white,female,2885,0,30,united-states,<=50k
1518,25,private,bachelors,13,never-married,exec-managerial,own-child,white,male,0,1340,40,united-states,<=50k
1519,17,local-gov,9th,5,never-married,other-service,own-child,black,male,0,0,9,united-states,<=50k
1520,47,local-gov,bachelors,13,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,<=50k
1521,47,state-gov,9th,5,divorced,other-service,not-in-family,white,female,0,0,40,united-states,<=50k
1522,30,private,some-college,10,divorced,exec-managerial,unmarried,white,female,0,0,40,united-states,<=50k
1523,20,private,some-college,10,never-married,farming-fishing,own-child,white,female,0,0,40,united-states,<=50k
1524,26,local-gov,bachelors,13,never-married,prof-specialty,not-in-family,white,male,0,2339,55,united-states,<=50k
1525,20,private,some-college,10,never-married,handlers-cleaners,not-in-family,black,male,0,0,15,united-states,<=50k
1526,33,private,hs-grad,9,divorced,other-service,unmarried,white,male,0,0,40,united-states,<=50k
1527,48,private,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,united-states,<=50k
1528,52,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,99999,0,50,united-states,>50k
1529,37,private,hs-grad,9,divorced,exec-managerial,unmarried,white,female,0,0,12,united-states,<=50k
1530,47,private,hs-grad,9,married-civ-spouse,craft-repair,husband,black,male,0,0,40,united-states,<=50k
1531,40,private,10th,6,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,united-states,>50k
1532,48,private,masters,14,divorced,exec-managerial,unmarried,white,female,0,0,40,united-states,>50k
1533,49,private,10th,6,married-civ-spouse,transport-moving,husband,black,male,0,0,42,united-states,>50k
1534,50,private,some-college,10,divorced,other-service,not-in-family,white,female,0,0,40,united-states,<=50k
1535,30,private,assoc-acdm,12,never-married,prof-specialty,not-in-family,white,female,0,0,40,united-states,<=50k
1536,34,private,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,<=50k
1537,43,private,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,united-states,<=50k
1538,22,private,10th,6,married-civ-spouse,machine-op-inspct,wife,white,female,0,0,40,united-states,<=50k
1539,35,private,hs-grad,9,separated,other-service,not-in-family,black,male,0,0,40,united-states,<=50k
1540,26,state-gov,hs-grad,9,divorced,adm-clerical,own-child,white,female,0,0,30,united-states,<=50k
1541,62,private,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,1628,70,united-states,<=50k
1542,39,local-gov,hs-grad,9,separated,protective-serv,not-in-family,white,male,0,0,40,united-states,<=50k
1543,59,local-gov,some-college,10,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
1545,27,private,bachelors,13,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
1546,17,private,10th,6,never-married,sales,own-child,white,male,0,0,30,united-states,<=50k
1547,38,private,bachelors,13,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,<=50k
1548,41,private,some-college,10,married-civ-spouse,craft-repair,husband,white,male,0,1887,50,united-states,>50k
1549,27,private,10th,6,never-married,machine-op-inspct,unmarried,white,female,0,0,40,united-states,<=50k
1550,23,private,hs-grad,9,never-married,adm-clerical,own-child,white,female,0,0,40,united-states,<=50k
1551,17,private,10th,6,never-married,handlers-cleaners,own-child,white,male,0,0,24,united-states,<=50k
1552,56,private,7th-8th,4,divorced,machine-op-inspct,not-in-family,white,female,0,0,40,united-states,<=50k
1553,24,private,some-college,10,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
1555,44,private,12th,8,divorced,transport-moving,unmarried,black,male,0,0,40,united-states,<=50k
1556,23,private,bachelors,13,never-married,adm-clerical,not-in-family,white,male,0,0,30,united-states,<=50k
1558,25,private,hs-grad,9,never-married,transport-moving,not-in-family,white,male,0,0,65,united-states,<=50k
1559,21,private,some-college,10,never-married,other-service,other-relative,black,female,0,0,8,united-states,<=50k
1560,18,private,12th,8,never-married,handlers-cleaners,own-child,white,male,0,0,6,united-states,<=50k
1561,45,private,some-college,10,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
1563,51,private,7th-8th,4,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,<=50k
1564,42,federal-gov,hs-grad,9,separated,other-service,other-relative,black,female,0,0,40,united-states,<=50k
1565,47,private,some-college,10,never-married,other-service,not-in-family,black,female,0,0,35,outlying-us(guam-usvi-etc),<=50k
1566,29,private,some-college,10,married-civ-spouse,farming-fishing,husband,white,male,0,0,40,united-states,<=50k
1567,33,private,11th,7,never-married,other-service,not-in-family,black,male,0,0,40,united-states,<=50k
1568,43,local-gov,bachelors,13,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
1571,44,private,assoc-acdm,12,married-civ-spouse,craft-repair,husband,white,male,0,1848,40,united-states,>50k
1572,24,private,some-college,10,never-married,other-service,own-child,white,male,0,0,30,united-states,<=50k
1573,19,private,some-college,10,never-married,handlers-cleaners,own-child,white,male,0,0,40,united-states,<=50k
1575,52,private,assoc-voc,11,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,<=50k
1576,38,self-emp-not-inc,hs-grad,9,never-married,farming-fishing,not-in-family,white,male,0,0,52,united-states,<=50k
1577,24,state-gov,some-college,10,never-married,tech-support,not-in-family,white,male,0,0,50,united-states,<=50k
1578,32,local-gov,bachelors,13,never-married,prof-specialty,not-in-family,white,male,0,0,50,united-states,<=50k
1580,26,private,hs-grad,9,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,>50k
1582,29,private,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,<=50k
1583,39,private,hs-grad,9,divorced,adm-clerical,not-in-family,white,male,10520,0,40,united-states,>50k
1584,48,self-emp-not-inc,hs-grad,9,married-civ-spouse,farming-fishing,husband,white,male,0,0,50,united-states,<=50k
1585,40,private,some-college,10,married-civ-spouse,craft-repair,husband,white,male,0,0,45,united-states,>50k
1586,51,private,some-college,10,divorced,exec-managerial,unmarried,white,male,0,0,45,scotland,<=50k
1587,28,self-emp-not-inc,hs-grad,9,divorced,craft-repair,own-child,white,male,0,0,40,united-states,<=50k
1588,22,private,hs-grad,9,never-married,exec-managerial,own-child,white,female,0,0,20,united-states,<=50k
1589,23,private,bachelors,13,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k
1590,65,private,some-college,10,married-civ-spouse,protective-serv,husband,white,male,0,0,16,united-states,<=50k
1591,26,local-gov,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,<=50k
1594,38,self-emp-not-inc,bachelors,13,married-civ-spouse,other-service,husband,white,male,0,0,10,united-states,<=50k
1595,33,private,hs-grad,9,never-married,prof-specialty,not-in-family,white,male,0,0,60,united-states,>50k
1596,33,local-gov,hs-grad,9,married-civ-spouse,adm-clerical,wife,white,female,0,0,60,united-states,<=50k
1597,37,private,bachelors,13,never-married,sales,not-in-family,black,female,0,0,40,united-states,<=50k
1598,19,private,11th,7,never-married,machine-op-inspct,own-child,white,male,0,0,60,united-states,<=50k
1599,24,private,bachelors,13,never-married,sales,not-in-family,white,male,0,0,50,united-states,<=50k
1600,30,private,11th,7,married-civ-spouse,craft-repair,husband,white,male,0,0,45,united-states,<=50k
1601,57,state-gov,hs-grad,9,divorced,exec-managerial,not-in-family,white,female,0,0,50,united-states,<=50k
1602,22,state-gov,some-college,10,never-married,prof-specialty,own-child,white,female,0,0,20,united-states,<=50k
1603,57,private,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,black,male,0,0,40,united-states,>50k
1604,46,state-gov,hs-grad,9,married-civ-spouse,tech-support,husband,white,male,0,0,40,united-states,<=50k
1605,67,private,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,35,united-states,<=50k
1607,47,private,hs-grad,9,separated,craft-repair,own-child,white,male,0,0,40,united-states,<=50k
1608,39,private,10th,6,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k
1609,50,private,some-college,10,divorced,other-service,unmarried,asian-pac-islander,male,0,0,40,philippines,<=50k
1610,58,self-emp-not-inc,12th,8,divorced,sales,not-in-family,white,female,0,0,52,united-states,<=50k
1611,36,private,assoc-acdm,12,married-civ-spouse,prof-specialty,wife,white,female,0,0,30,united-states,>50k
1612,45,private,masters,14,married-civ-spouse,prof-specialty,husband,white,male,0,0,36,england,>50k
